Measurement,Unit,Latitude,Longitude,Date,Oceans,Regions,SubRegions,Sampling Method,Density Class
0.0,pieces/m3,43.93,-64.54,1992-05-24,Atlantic Ocean,,,Neuston net,Very Low
0.007,pieces/m3,61.038,-66.9325,2016-09-12,Arctic Ocean,Hudson Strait,,Grab sample,Medium
0.00648,pieces/m3,39.32,-70.27,1990-05-13,Atlantic Ocean,,,Neuston net,Medium
0.01152,pieces/m3,41.41,-71.18,2008-07-23,Atlantic Ocean,,,Neuston net,Medium
0.0,pieces/m3,40.18,-65.82,1992-05-16,Atlantic Ocean,,,Neuston net,Very Low
0.00322,pieces/m3,41.64,-63.63,2007-06-01,Atlantic Ocean,,,Neuston net,Low
0.025524,pieces/m3,31.88,-69.68,2000-04-09,Atlantic Ocean,,,Neuston net,Medium
0.003088,pieces/m3,33.52,-65.08,2001-06-29,Atlantic Ocean,,,Neuston net,Low
0.086392,pieces/m3,22.28,-58.0,1993-10-30,Atlantic Ocean,,,Neuston net,Medium
0.041036,pieces/m3,21.82,-58.07,1996-11-02,Atlantic Ocean,,,Neuston net,Medium
0.00216,pieces/m3,20.53,-73.81,2000-02-24,Atlantic Ocean,,,Neuston net,Low
0.03568,pieces/m3,27.55,-71.97,1995-05-21,Atlantic Ocean,,,Neuston net,Medium
0.025916,pieces/m3,27.05,-67.32,1998-04-16,Atlantic Ocean,,,Neuston net,Medium
0.0144,pieces/m3,30.48,-64.89,2001-05-22,Atlantic Ocean,,,Neuston net,Medium
2115.655853,pieces/m3,21.526733,-87.37755,2018-05-18,Atlantic Ocean,Gulf of Mexico,,PVC cylinder,Medium
0.0,pieces/m3,21.5317,-87.3683,2018-05-18,Atlantic Ocean,Gulf of Mexico,,PVC cylinder,Very Low
0.0,pieces/m3,25.0,-77.58,1995-05-09,Atlantic Ocean,,,Neuston net,Very Low
0.0,pieces/m3,27.9899,-82.6316,2016-11-01,Atlantic Ocean,Gulf of Mexico,Tampa Bay,Van Dorn sampler,Very Low
0.0,pieces/m3,17.81,-58.63,2005-10-31,Atlantic Ocean,,,Neuston net,Very Low
0.006,pieces/m3,14.1616,-59.8337,2014-12-02,Atlantic Ocean,,,Grab sample,Medium
0.0,pieces/m3,14.01,-59.97,1998-11-10,Atlantic Ocean,Caribbean Sea,,Neuston net,Very Low
0.0,pieces/m3,13.9,-60.15,1996-11-12,Atlantic Ocean,Caribbean Sea,,Neuston net,Very Low
0.01,pieces/m3,21.8264,-108.0153,2015-02-05,Pacific Ocean,,,Grab sample,Medium
0.0,pieces/m3,25.87,-79.97,1991-04-20,Atlantic Ocean,,,Neuston net,Very Low
0.7,pieces/m3,-1.5,-86.0,2017-10-08,Pacific Ocean,,,Plankton net,Medium
0.00864,pieces/m3,8.45,-85.33,2001-11-15,Pacific Ocean,,,Neuston net,Medium
